[INFO] File: src/logger.c , function: open_log_file , line 13, message: success open log file
[INFO] File: src/user_interface.c , function: get_console_size , line 50, message: default console size: nlines = 59, ncolumns = 248
[INFO] File: src/callbacks.c , function: start_registration , line 38, message: IP: 10.108.86.23
[INFO] File: src/client.c , function: main , line 42, message: loop start ... 
[INFO] File: src/callbacks.c , function: connect_cb , line 85, message: read start
[INFO] File: src/user_interface.c , function: create_room , line 359, message: room name: chat
[DEBUG] File: src/user_interface.c , function: add_chat , line 395, message: added room: chat
[DEBUG] File: src/user_interface.c , function: check_connect_possibility , line 230, message: current name = 'chat', room name = 'chat'
[INFO] File: src/user_interface.c , function: check_connect_possibility , line 232, message: room was found
[INFO] File: src/callbacks.c , function: join_room , line 368, message: client join room: chat
[INFO] File: src/user_interface.c , function: make_uppercase_line , line 553, message: chat
[INFO] File: src/user_interface.c , function: make_uppercase_line , line 559, message: CHAT
[DEBUG] File: src/callbacks.c , function: show_server_message , line 583, message: Message from server = 'Hello!
'
[WARNING] File: src/callbacks.c , function: find_srv_command , line 632, message: command was not found
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 104
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 111
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 119
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 32
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 97
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 114
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 101
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 32
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 121
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 111
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 121
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 63
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 263
[INFO] File: src/user_interface.c , function: delete_symbol , line 921, message: delete one symbol
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 263
[INFO] File: src/user_interface.c , function: delete_symbol , line 921, message: delete one symbol
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 263
[INFO] File: src/user_interface.c , function: delete_symbol , line 921, message: delete one symbol
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 263
[INFO] File: src/user_interface.c , function: delete_symbol , line 921, message: delete one symbol
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 263
[INFO] File: src/user_interface.c , function: delete_symbol , line 921, message: delete one symbol
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 121
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 111
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 117
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 63
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 10
[INFO] File: src/callbacks.c , function: send_message , line 465, message: client send message: how areyou?
[DEBUG] File: src/callbacks.c , function: show_server_message , line 583, message: Message from server = 'you are in the room: chat
number of clients in room: 2'
[WARNING] File: src/callbacks.c , function: find_srv_command , line 632, message: command was not found
[DEBUG] File: src/callbacks.c , function: show_server_message , line 592, message: start waiting exit
[DEBUG] File: src/callbacks.c , function: show_server_message , line 596, message: finish waiting exit
[DEBUG] File: src/user_interface.c , function: waiting_exit , line 982, message: key in room info window: 259
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 71
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 65
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 77
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 69
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 82
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 32
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 71
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 65
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 77
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 69
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 82
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 32
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 71
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 65
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 77
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 69
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 82
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 10
[INFO] File: src/callbacks.c , function: send_message , line 465, message: client send message: GAMER GAMER GAMER
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 118
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 97
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 116
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 32
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 99
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 97
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 116
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 32
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 99
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 97
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 116
[WARNING] File: src/user_interface.c , function: parse_request , line 316, message: request was not recognized. User choice = 10
[INFO] File: src/callbacks.c , function: send_message , line 465, message: client send message: vat cat cat
[DEBUG] File: src/callbacks.c , function: show_server_message , line 583, message: Message from server = '/recipients_ID 6953911602990
'
[INFO] File: src/sending_files.c , function: open_new_connection , line 66, message: successfully connected to file chanel
[INFO] File: src/sending_files.c , function: read_cb , line 142, message: read got 18
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 159, message: IN PARS FILE DATA = /file_name prog.c

[DEBUG] File: src/sending_files.c , function: parse_file_data , line 173, message: file instruction = '/file_name prog.c'
[DEBUG] File: src/sending_files.c , function: parse_command , line 203, message: command '/file_name' was founded
[DEBUG] File: src/sending_files.c , function: parse_file_name , line 269, message: in get_file_name: inst = '/file_name prog.c'
[DEBUG] File: src/sending_files.c , function: parse_file_name , line 271, message: after in get_file_name: inst = '/file_name prog.c'
[INFO] File: src/sending_files.c , function: parse_file_name , line 275, message: reciver: file name = 'prog.c'
[INFO] File: src/sending_files.c , function: parse_file_data , line 180, message: bytes left in the buffer: 0
[INFO] File: src/sending_files.c , function: parse_file_data , line 185, message: string line after: 0
[DEBUG] File: src/user_interface.c , function: file_request , line 332, message: user choice = Y
[INFO] File: src/user_interface.c , function: delete_symbol , line 921, message: delete one symbol
[INFO] File: src/user_interface.c , function: delete_symbol , line 921, message: delete one symbol
[INFO] File: src/user_interface.c , function: delete_symbol , line 921, message: delete one symbol
[INFO] File: src/user_interface.c , function: delete_symbol , line 921, message: delete one symbol
[INFO] File: src/user_interface.c , function: delete_symbol , line 921, message: delete one symbol
[INFO] File: src/user_interface.c , function: delete_symbol , line 921, message: delete one symbol
[INFO] File: src/user_interface.c , function: delete_symbol , line 921, message: delete one symbol
[INFO] File: src/user_interface.c , function: delete_symbol , line 921, message: delete one symbol
[INFO] File: src/user_interface.c , function: delete_symbol , line 921, message: delete one symbol
[INFO] File: src/user_interface.c , function: delete_symbol , line 921, message: delete one symbol
[INFO] File: src/user_interface.c , function: delete_symbol , line 921, message: delete one symbol
[INFO] File: src/user_interface.c , function: delete_symbol , line 921, message: delete one symbol
[DEBUG] File: src/sending_files.c , function: create_file , line 427, message: receiver: file_name = 'prog.c'
[DEBUG] File: src/sending_files.c , function: create_file , line 428, message: receive: file_path = '/home/foma/Tests/'
[DEBUG] File: src/sending_files.c , function: create_file , line 430, message: path and name: /home/foma/Tests/prog.c
[INFO] File: src/sending_files.c , function: read_cb , line 142, message: read got 97
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 159, message: IN PARS FILE DATA = #include <stdio.h>

int main(int agc, char** arg){

    printf( "Hello world" );
    return 0;
}

[DEBUG] File: src/sending_files.c , function: save_file_data , line 222, message: before write data size = 97
[INFO] File: src/sending_files.c , function: parse_file_data , line 180, message: bytes left in the buffer: 0
[INFO] File: src/sending_files.c , function: parse_file_data , line 185, message: string line after: 0
