[INFO] File: src/logger.c , function: open_log_file , line 13, message: success open log file
[INFO] File: src/user_interface.c , function: get_console_size , line 52, message: default console size: nlines = 59, ncolumns = 248
[DEBUG] File: src/user_interface.c , function: delete_symbol , line 1032, message: buf_size = 5
[INFO] File: src/user_interface.c , function: delete_symbol , line 1046, message: delete one symbol
[DEBUG] File: src/user_interface.c , function: delete_symbol , line 1032, message: buf_size = 8
[INFO] File: src/user_interface.c , function: delete_symbol , line 1046, message: delete one symbol
[INFO] File: src/callbacks.c , function: start_registration , line 45, message: IP: 80.87.201.176
[INFO] File: src/client.c , function: main , line 53, message: loop start ... 
[INFO] File: src/callbacks.c , function: connect_cb , line 92, message: read start
[INFO] File: src/user_interface.c , function: create_room , line 451, message: room name: test_file
[DEBUG] File: src/user_interface.c , function: add_chat , line 500, message: added room: test_file
[DEBUG] File: src/user_interface.c , function: delete_symbol , line 1032, message: buf_size = 8
[INFO] File: src/user_interface.c , function: delete_symbol , line 1046, message: delete one symbol
[DEBUG] File: src/user_interface.c , function: delete_symbol , line 1032, message: buf_size = 7
[INFO] File: src/user_interface.c , function: delete_symbol , line 1046, message: delete one symbol
[DEBUG] File: src/user_interface.c , function: check_connect_possibility , line 263, message: current name = 'test_file', room name = 'test_file'
[INFO] File: src/user_interface.c , function: check_connect_possibility , line 265, message: room was found
[INFO] File: src/callbacks.c , function: join_room , line 392, message: client join room: test_file
[INFO] File: src/user_interface.c , function: make_uppercase_line , line 667, message: test_file
[INFO] File: src/user_interface.c , function: make_uppercase_line , line 673, message: TEST_FILE
[DEBUG] File: src/callbacks.c , function: get_file_name , line 489, message: get file name: home/foma/Tests/ava.jpeg
[DEBUG] File: src/callbacks.c , function: get_file_name , line 489, message: get file name: foma/Tests/ava.jpeg
[DEBUG] File: src/callbacks.c , function: get_file_name , line 489, message: get file name: Tests/ava.jpeg
[DEBUG] File: src/callbacks.c , function: get_file_name , line 489, message: get file name: ava.jpeg
[DEBUG] File: src/callbacks.c , function: get_file_name , line 492, message: file name from path: ava.jpeg
[INFO] File: src/callbacks.c , function: connect_sender , line 701, message: file path: '/home/foma/Tests/ava.jpeg'
[INFO] File: src/callbacks.c , function: connect_sender , line 702, message: file_name from sender: 'ava.jpeg'
[INFO] File: src/sending_files.c , function: open_new_connection , line 72, message: successfully connected to file chanel
[INFO] File: src/sending_files.c , function: get_file_size , line 327, message: sender path before stat: /home/foma/Tests/ava.jpeg
[DEBUG] File: src/sending_files.c , function: get_file_size , line 333, message: fle size from stat = 24309
[INFO] File: src/sending_files.c , function: get_file_size , line 335, message: file successfully opened
[DEBUG] File: src/sending_files.c , function: send_file_information , line 107, message: client file name = 'ava.jpeg', client file cap = 24309
[INFO] File: src/sending_files.c , function: read_cb , line 159, message: read got 31
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 176, message: IN PARS FILE DATA = /sender_ID 8168105391373623553

[DEBUG] File: src/sending_files.c , function: parse_command , line 221, message: command '/sender_ID' was founded
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 197, message: buffer_offset = 31
[INFO] File: src/sending_files.c , function: parse_file_data , line 202, message: string line after: 0
[INFO] File: src/sending_files.c , function: read_cb , line 159, message: read got 29
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 176, message: IN PARS FILE DATA = /ok 8168105391373623553 1024

[DEBUG] File: src/sending_files.c , function: parse_command , line 221, message: command '/ok' was founded
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 197, message: buffer_offset = 29
[INFO] File: src/sending_files.c , function: parse_file_data , line 202, message: string line after: 0
[INFO] File: src/sending_files.c , function: read_cb , line 159, message: read got 29
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 176, message: IN PARS FILE DATA = /ok 8168105391373623553 2048

[DEBUG] File: src/sending_files.c , function: parse_command , line 221, message: command '/ok' was founded
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 197, message: buffer_offset = 29
[INFO] File: src/sending_files.c , function: parse_file_data , line 202, message: string line after: 0
[INFO] File: src/sending_files.c , function: read_cb , line 159, message: read got 29
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 176, message: IN PARS FILE DATA = /ok 8168105391373623553 3072

[DEBUG] File: src/sending_files.c , function: parse_command , line 221, message: command '/ok' was founded
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 197, message: buffer_offset = 29
[INFO] File: src/sending_files.c , function: parse_file_data , line 202, message: string line after: 0
[INFO] File: src/sending_files.c , function: read_cb , line 159, message: read got 29
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 176, message: IN PARS FILE DATA = /ok 8168105391373623553 4096

[DEBUG] File: src/sending_files.c , function: parse_command , line 221, message: command '/ok' was founded
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 197, message: buffer_offset = 29
[INFO] File: src/sending_files.c , function: parse_file_data , line 202, message: string line after: 0
[INFO] File: src/sending_files.c , function: read_cb , line 159, message: read got 29
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 176, message: IN PARS FILE DATA = /ok 8168105391373623553 5120

[DEBUG] File: src/sending_files.c , function: parse_command , line 221, message: command '/ok' was founded
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 197, message: buffer_offset = 29
[INFO] File: src/sending_files.c , function: parse_file_data , line 202, message: string line after: 0
[INFO] File: src/sending_files.c , function: read_cb , line 159, message: read got 29
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 176, message: IN PARS FILE DATA = /ok 8168105391373623553 6144

[DEBUG] File: src/sending_files.c , function: parse_command , line 221, message: command '/ok' was founded
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 197, message: buffer_offset = 29
[INFO] File: src/sending_files.c , function: parse_file_data , line 202, message: string line after: 0
[INFO] File: src/sending_files.c , function: read_cb , line 159, message: read got 29
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 176, message: IN PARS FILE DATA = /ok 8168105391373623553 7168

[DEBUG] File: src/sending_files.c , function: parse_command , line 221, message: command '/ok' was founded
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 197, message: buffer_offset = 29
[INFO] File: src/sending_files.c , function: parse_file_data , line 202, message: string line after: 0
[INFO] File: src/sending_files.c , function: read_cb , line 159, message: read got 29
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 176, message: IN PARS FILE DATA = /ok 8168105391373623553 8192

[DEBUG] File: src/sending_files.c , function: parse_command , line 221, message: command '/ok' was founded
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 197, message: buffer_offset = 29
[INFO] File: src/sending_files.c , function: parse_file_data , line 202, message: string line after: 0
[INFO] File: src/sending_files.c , function: read_cb , line 159, message: read got 29
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 176, message: IN PARS FILE DATA = /ok 8168105391373623553 9216

[DEBUG] File: src/sending_files.c , function: parse_command , line 221, message: command '/ok' was founded
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 197, message: buffer_offset = 29
[INFO] File: src/sending_files.c , function: parse_file_data , line 202, message: string line after: 0
[INFO] File: src/sending_files.c , function: read_cb , line 159, message: read got 30
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 176, message: IN PARS FILE DATA = /ok 8168105391373623553 10240

[DEBUG] File: src/sending_files.c , function: parse_command , line 221, message: command '/ok' was founded
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 197, message: buffer_offset = 30
[INFO] File: src/sending_files.c , function: parse_file_data , line 202, message: string line after: 0
[INFO] File: src/sending_files.c , function: read_cb , line 159, message: read got 30
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 176, message: IN PARS FILE DATA = /ok 8168105391373623553 11264

[DEBUG] File: src/sending_files.c , function: parse_command , line 221, message: command '/ok' was founded
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 197, message: buffer_offset = 30
[INFO] File: src/sending_files.c , function: parse_file_data , line 202, message: string line after: 0
[INFO] File: src/sending_files.c , function: read_cb , line 159, message: read got 30
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 176, message: IN PARS FILE DATA = /ok 8168105391373623553 12288

[DEBUG] File: src/sending_files.c , function: parse_command , line 221, message: command '/ok' was founded
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 197, message: buffer_offset = 30
[INFO] File: src/sending_files.c , function: parse_file_data , line 202, message: string line after: 0
[INFO] File: src/sending_files.c , function: read_cb , line 159, message: read got 30
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 176, message: IN PARS FILE DATA = /ok 8168105391373623553 13312

[DEBUG] File: src/sending_files.c , function: parse_command , line 221, message: command '/ok' was founded
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 197, message: buffer_offset = 30
[INFO] File: src/sending_files.c , function: parse_file_data , line 202, message: string line after: 0
[INFO] File: src/sending_files.c , function: read_cb , line 159, message: read got 30
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 176, message: IN PARS FILE DATA = /ok 8168105391373623553 14336

[DEBUG] File: src/sending_files.c , function: parse_command , line 221, message: command '/ok' was founded
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 197, message: buffer_offset = 30
[INFO] File: src/sending_files.c , function: parse_file_data , line 202, message: string line after: 0
[INFO] File: src/sending_files.c , function: read_cb , line 159, message: read got 30
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 176, message: IN PARS FILE DATA = /ok 8168105391373623553 15360

[DEBUG] File: src/sending_files.c , function: parse_command , line 221, message: command '/ok' was founded
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 197, message: buffer_offset = 30
[INFO] File: src/sending_files.c , function: parse_file_data , line 202, message: string line after: 0
[INFO] File: src/sending_files.c , function: read_cb , line 159, message: read got 30
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 176, message: IN PARS FILE DATA = /ok 8168105391373623553 16384

[DEBUG] File: src/sending_files.c , function: parse_command , line 221, message: command '/ok' was founded
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 197, message: buffer_offset = 30
[INFO] File: src/sending_files.c , function: parse_file_data , line 202, message: string line after: 0
[INFO] File: src/sending_files.c , function: read_cb , line 159, message: read got 30
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 176, message: IN PARS FILE DATA = /ok 8168105391373623553 17408

[DEBUG] File: src/sending_files.c , function: parse_command , line 221, message: command '/ok' was founded
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 197, message: buffer_offset = 30
[INFO] File: src/sending_files.c , function: parse_file_data , line 202, message: string line after: 0
[INFO] File: src/sending_files.c , function: read_cb , line 159, message: read got 30
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 176, message: IN PARS FILE DATA = /ok 8168105391373623553 18432

[DEBUG] File: src/sending_files.c , function: parse_command , line 221, message: command '/ok' was founded
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 197, message: buffer_offset = 30
[INFO] File: src/sending_files.c , function: parse_file_data , line 202, message: string line after: 0
[INFO] File: src/sending_files.c , function: read_cb , line 159, message: read got 30
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 176, message: IN PARS FILE DATA = /ok 8168105391373623553 19456

[DEBUG] File: src/sending_files.c , function: parse_command , line 221, message: command '/ok' was founded
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 197, message: buffer_offset = 30
[INFO] File: src/sending_files.c , function: parse_file_data , line 202, message: string line after: 0
[INFO] File: src/sending_files.c , function: read_cb , line 159, message: read got 30
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 176, message: IN PARS FILE DATA = /ok 8168105391373623553 20480

[DEBUG] File: src/sending_files.c , function: parse_command , line 221, message: command '/ok' was founded
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 197, message: buffer_offset = 30
[INFO] File: src/sending_files.c , function: parse_file_data , line 202, message: string line after: 0
[INFO] File: src/sending_files.c , function: read_cb , line 159, message: read got 30
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 176, message: IN PARS FILE DATA = /ok 8168105391373623553 21504

[DEBUG] File: src/sending_files.c , function: parse_command , line 221, message: command '/ok' was founded
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 197, message: buffer_offset = 30
[INFO] File: src/sending_files.c , function: parse_file_data , line 202, message: string line after: 0
[INFO] File: src/sending_files.c , function: read_cb , line 159, message: read got 30
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 176, message: IN PARS FILE DATA = /ok 8168105391373623553 22528

[DEBUG] File: src/sending_files.c , function: parse_command , line 221, message: command '/ok' was founded
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 197, message: buffer_offset = 30
[INFO] File: src/sending_files.c , function: parse_file_data , line 202, message: string line after: 0
[INFO] File: src/sending_files.c , function: read_cb , line 159, message: read got 30
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 176, message: IN PARS FILE DATA = /ok 8168105391373623553 23552

[DEBUG] File: src/sending_files.c , function: parse_command , line 221, message: command '/ok' was founded
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 197, message: buffer_offset = 30
[INFO] File: src/sending_files.c , function: parse_file_data , line 202, message: string line after: 0
[DEBUG] File: src/sending_files.c , function: transmission_end , line 346, message: SENDER FINISH SENDING
[INFO] File: src/sending_files.c , function: read_cb , line 159, message: read got 30
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 176, message: IN PARS FILE DATA = /ok 8168105391373623553 24309

[DEBUG] File: src/sending_files.c , function: parse_command , line 221, message: command '/ok' was founded
[INFO] File: src/sending_files.c , function: send_chunk , line 250, message: SEDNER: finish sending file data!
[INFO] File: src/sending_files.c , function: close_file_ch , line 359, message: sendfer close file channel
[DEBUG] File: src/sending_files.c , function: parse_file_data , line 197, message: buffer_offset = 30
[INFO] File: src/sending_files.c , function: parse_file_data , line 202, message: string line after: 0
[DEBUG] File: src/user_interface.c , function: file_request , line 424, message: user choice = C
